,country,year,age,sex,Average_suicides_per_capita
23131,Slovenia,2002-01-01,75+ years,male,106.71
15425,Luxembourg,1994-01-01,75+ years,male,106.67
15173,Lithuania,2005-01-01,55-74 years,male,106.39
3269,Belarus,1996-01-01,55-74 years,male,106.18
14803,Latvia,1995-01-01,75+ years,male,106.11
9157,France,1990-01-01,75+ years,male,105.89
15077,Lithuania,1997-01-01,55-74 years,male,105.76
21025,Russian Federation,1996-01-01,35-54 years,male,105.41
23239,Slovenia,2011-01-01,75+ years,male,105.15
15149,Lithuania,2003-01-01,55-74 years,male,105.08
22243,Seychelles,2002-01-01,75+ years,male,104.93
27375,Uruguay,1999-01-01,75+ years,male,104.89
4675,Bulgaria,1995-01-01,75+ years,male,104.77
6379,Croatia,1995-01-01,75+ years,male,104.76
20995,Russian Federation,1993-01-01,75+ years,male,104.75
23047,Slovenia,1995-01-01,75+ years,male,104.65
6427,Croatia,1999-01-01,75+ years,male,104.48
23083,Slovenia,1998-01-01,75+ years,male,104.32
13795,Kazakhstan,1994-01-01,75+ years,male,104.1
6439,Croatia,2000-01-01,75+ years,male,104.05
8399,Estonia,1998-01-01,55-74 years,male,104.02
15389,Luxembourg,1991-01-01,75+ years,male,103.9
21005,Russian Federation,1994-01-01,55-74 years,male,103.86
4567,Bulgaria,1986-01-01,75+ years,male,103.8
9193,France,1993-01-01,75+ years,male,103.61
22075,Serbia,2006-01-01,75+ years,male,103.55
15169,Lithuania,2005-01-01,35-54 years,male,103.35
3475,Belgium,1987-01-01,75+ years,male,103.35
9181,France,1992-01-01,75+ years,male,103.31
15137,Lithuania,2002-01-01,55-74 years,male,103.28
20947,Russian Federation,1989-01-01,75+ years,male,103.25
22051,Serbia,2004-01-01,75+ years,male,103.2
15712,Maldives,2001-01-01,75+ years,female,102.46
15101,Lithuania,1999-01-01,55-74 years,male,102.44
11327,Guyana,2010-01-01,75+ years,male,102.35
7131,Czech Republic,1992-01-01,75+ years,male,102.23
3281,Belarus,1997-01-01,55-74 years,male,101.95
1953,Austria,1998-01-01,75+ years,male,101.77
7143,Czech Republic,1993-01-01,75+ years,male,101.77
23191,Slovenia,2007-01-01,75+ years,male,101.72
23983,Sri Lanka,2000-01-01,75+ years,male,101.59
11603,Hungary,2010-01-01,75+ years,male,101.57
3451,Belgium,1985-01-01,75+ years,male,101.52
7155,Czech Republic,1994-01-01,75+ years,male,101.35
1941,Austria,1997-01-01,75+ years,male,101.28
3293,Belarus,1998-01-01,55-74 years,male,101.2
1293,Aruba,2000-01-01,75+ years,male,101.11
14815,Latvia,1996-01-01,75+ years,male,100.98
8363,Estonia,1995-01-01,55-74 years,male,100.85
24319,Suriname,2010-01-01,75+ years,male,100.12
11627,Hungary,2012-01-01,75+ years,male,100.1
3277,Belarus,1997-01-01,35-54 years,male,99.99
6391,Croatia,1996-01-01,75+ years,male,99.86
2001,Austria,2002-01-01,75+ years,male,99.84
1845,Austria,1989-01-01,75+ years,male,99.78
22303,Seychelles,2007-01-01,75+ years,male,99.7
3499,Belgium,1989-01-01,75+ years,male,99.64
1977,Austria,2000-01-01,75+ years,male,99.51
23287,Slovenia,2015-01-01,75+ years,male,99.45
21065,Russian Federation,1999-01-01,55-74 years,male,99.44
21017,Russian Federation,1995-01-01,55-74 years,male,99.33
15161,Lithuania,2004-01-01,55-74 years,male,99.31
9169,France,1991-01-01,75+ years,male,99.28
4723,Bulgaria,1999-01-01,75+ years,male,99.11
21085,Russian Federation,2001-01-01,35-54 years,male,99.0
14833,Latvia,1998-01-01,35-54 years,male,98.98
23263,Slovenia,2013-01-01,75+ years,male,98.96
20959,Russian Federation,1990-01-01,75+ years,male,98.81
4699,Bulgaria,1997-01-01,75+ years,male,98.77
8425,Estonia,2000-01-01,75+ years,male,98.62
21073,Russian Federation,2000-01-01,35-54 years,male,98.53
21061,Russian Federation,1999-01-01,35-54 years,male,98.52
22458,Singapore,1989-01-01,75+ years,female,98.51
22039,Serbia,2003-01-01,75+ years,male,98.29
6737,Cuba,2000-01-01,75+ years,male,98.28
14809,Latvia,1996-01-01,35-54 years,male,98.26
8387,Estonia,1997-01-01,55-74 years,male,98.13
7119,Czech Republic,1991-01-01,75+ years,male,98.13
14851,Latvia,1999-01-01,75+ years,male,98.1
22135,Serbia,2011-01-01,75+ years,male,98.05
3463,Belgium,1986-01-01,75+ years,male,97.96
9205,France,1994-01-01,75+ years,male,97.77
3559,Belgium,1994-01-01,75+ years,male,97.66
24037,Suriname,1985-01-01,35-54 years,male,97.56
6475,Croatia,2003-01-01,75+ years,male,97.56
14825,Latvia,1997-01-01,55-74 years,male,97.38
15217,Lithuania,2009-01-01,35-54 years,male,97.21
6547,Croatia,2009-01-01,75+ years,male,97.18
1797,Austria,1985-01-01,75+ years,male,97.1
4615,Bulgaria,1990-01-01,75+ years,male,97.1
21043,Russian Federation,1997-01-01,75+ years,male,97.09
22507,Singapore,1993-01-01,75+ years,male,97.01
3289,Belarus,1998-01-01,35-54 years,male,97.01
9217,France,1995-01-01,75+ years,male,96.99
15305,Lithuania,2016-01-01,75+ years,male,96.98
20971,Russian Federation,1991-01-01,75+ years,male,96.72
14899,Latvia,2003-01-01,75+ years,male,96.67
4735,Bulgaria,2000-01-01,75+ years,male,96.58
24331,Suriname,2011-01-01,75+ years,male,96.45
26163,Ukraine,1994-01-01,75+ years,male,96.42
23227,Slovenia,2010-01-01,75+ years,male,96.29
22111,Serbia,2009-01-01,75+ years,male,96.2
3317,Belarus,2000-01-01,55-74 years,male,96.06
21031,Russian Federation,1996-01-01,75+ years,male,95.91
3253,Belarus,1995-01-01,35-54 years,male,95.9
15091,Lithuania,1998-01-01,75+ years,male,95.89
27387,Uruguay,2000-01-01,75+ years,male,95.84
3305,Belarus,1999-01-01,55-74 years,male,95.74
15103,Lithuania,1999-01-01,75+ years,male,95.67
21037,Russian Federation,1997-01-01,35-54 years,male,95.28
27435,Uruguay,2004-01-01,75+ years,male,95.23
26175,Ukraine,1995-01-01,75+ years,male,95.19
3313,Belarus,2000-01-01,35-54 years,male,95.02
3547,Belgium,1993-01-01,75+ years,male,95.01
14821,Latvia,1997-01-01,35-54 years,male,94.95
20993,Russian Federation,1993-01-01,55-74 years,male,94.73
21041,Russian Federation,1997-01-01,55-74 years,male,94.69
21029,Russian Federation,1996-01-01,55-74 years,male,94.65
21097,Russian Federation,2002-01-01,35-54 years,male,94.36
15265,Lithuania,2013-01-01,35-54 years,male,94.28
3353,Belarus,2003-01-01,55-74 years,male,94.27
8395,Estonia,1998-01-01,35-54 years,male,94.22
20999,Russian Federation,1994-01-01,25-34 years,male,94.18
21077,Russian Federation,2000-01-01,55-74 years,male,93.9
21019,Russian Federation,1995-01-01,75+ years,male,93.89
24031,Sri Lanka,2006-01-01,75+ years,male,93.81
3511,Belgium,1990-01-01,75+ years,male,93.74
14947,Latvia,2007-01-01,75+ years,male,93.67
2025,Austria,2004-01-01,75+ years,male,93.66
22123,Serbia,2010-01-01,75+ years,male,93.52
3523,Belgium,1991-01-01,75+ years,male,93.48
13813,Kazakhstan,1996-01-01,35-54 years,male,92.95
22435,Singapore,1987-01-01,75+ years,male,92.9
23057,Slovenia,1996-01-01,55-74 years,male,92.83
15151,Lithuania,2003-01-01,75+ years,male,92.71
23947,Sri Lanka,1997-01-01,75+ years,male,92.57
6451,Croatia,2001-01-01,75+ years,male,92.08
21089,Russian Federation,2001-01-01,55-74 years,male,92.06
20983,Russian Federation,1992-01-01,75+ years,male,91.98
26151,Ukraine,1993-01-01,75+ years,male,91.94
3241,Belarus,1994-01-01,35-54 years,male,91.83
23971,Sri Lanka,1999-01-01,75+ years,male,91.81
6761,Cuba,2002-01-01,75+ years,male,91.65
22087,Serbia,2007-01-01,75+ years,male,91.59
27327,Uruguay,1995-01-01,75+ years,male,91.49
21011,Russian Federation,1995-01-01,25-34 years,male,91.46
11663,Hungary,2015-01-01,75+ years,male,91.42
15283,Lithuania,2014-01-01,75+ years,male,91.41
3349,Belarus,2003-01-01,35-54 years,male,91.34
20433,Republic of Korea,2001-01-01,75+ years,male,91.34
2013,Austria,2003-01-01,75+ years,male,91.31
3391,Belarus,2009-01-01,75+ years,male,91.17
4759,Bulgaria,2002-01-01,75+ years,male,91.16
24043,Suriname,1985-01-01,75+ years,male,90.91
21115,Russian Federation,2003-01-01,75+ years,male,90.8
13841,Kazakhstan,1998-01-01,55-74 years,male,90.75
15221,Lithuania,2009-01-01,55-74 years,male,90.7
6749,Cuba,2001-01-01,75+ years,male,90.6
27363,Uruguay,1998-01-01,75+ years,male,90.56
11591,Hungary,2009-01-01,75+ years,male,90.54
24367,Suriname,2014-01-01,75+ years,male,90.43
22543,Singapore,1996-01-01,75+ years,male,90.28
4651,Bulgaria,1993-01-01,75+ years,male,90.15
15205,Lithuania,2008-01-01,35-54 years,male,90.15
22147,Serbia,2012-01-01,75+ years,male,90.12
8785,Finland,1990-01-01,75+ years,male,90.06
13829,Kazakhstan,1997-01-01,55-74 years,male,89.98
3329,Belarus,2001-01-01,55-74 years,male,89.9
11555,Hungary,2006-01-01,75+ years,male,89.86
11321,Guyana,2010-01-01,35-54 years,male,89.74
27423,Uruguay,2003-01-01,75+ years,male,89.54
21101,Russian Federation,2002-01-01,55-74 years,male,89.47
11369,Hungary,1991-01-01,35-54 years,male,89.47
13825,Kazakhstan,1997-01-01,35-54 years,male,89.29
11381,Hungary,1992-01-01,35-54 years,male,89.24
1965,Austria,1999-01-01,75+ years,male,89.16
7179,Czech Republic,1996-01-01,75+ years,male,89.06
3325,Belarus,2001-01-01,35-54 years,male,88.95
21127,Russian Federation,2004-01-01,75+ years,male,88.93
21109,Russian Federation,2003-01-01,35-54 years,male,88.93
26187,Ukraine,1996-01-01,75+ years,male,88.58
15107,Lithuania,2000-01-01,25-34 years,male,88.45
6403,Croatia,1997-01-01,75+ years,male,88.44
3337,Belarus,2002-01-01,35-54 years,male,88.38
15185,Lithuania,2006-01-01,55-74 years,male,88.29
9721,Germany,1990-01-01,75+ years,male,88.26
21023,Russian Federation,1996-01-01,25-34 years,male,88.23
6773,Cuba,2003-01-01,75+ years,male,88.22
24737,Switzerland,1995-01-01,75+ years,male,88.22
9241,France,1997-01-01,75+ years,male,88.19
21083,Russian Federation,2001-01-01,25-34 years,male,88.17
21049,Russian Federation,1998-01-01,35-54 years,male,88.14
23203,Slovenia,2008-01-01,75+ years,male,88.08
1341,Aruba,2004-01-01,75+ years,male,88.03
21055,Russian Federation,1998-01-01,75+ years,male,88.0
13807,Kazakhstan,1995-01-01,75+ years,male,87.96
9733,Germany,1991-01-01,75+ years,male,87.89
9745,Germany,1992-01-01,75+ years,male,87.87
15143,Lithuania,2003-01-01,25-34 years,male,87.85
24019,Sri Lanka,2003-01-01,75+ years,male,87.74
21053,Russian Federation,1998-01-01,55-74 years,male,87.56
7167,Czech Republic,1995-01-01,75+ years,male,87.53
6809,Cuba,2006-01-01,75+ years,male,87.51
15497,Luxembourg,2000-01-01,75+ years,male,87.45
13817,Kazakhstan,1996-01-01,55-74 years,male,87.35
22519,Singapore,1994-01-01,75+ years,male,87.27
9229,France,1996-01-01,75+ years,male,87.21
27507,Uruguay,2010-01-01,75+ years,male,87.16
15095,Lithuania,1999-01-01,25-34 years,male,87.08
11385,Hungary,1992-01-01,55-74 years,male,87.02
15317,Luxembourg,1985-01-01,75+ years,male,86.96
26185,Ukraine,1996-01-01,55-74 years,male,86.9
11673,Hungary,2016-01-01,75+ years,male,86.84
14839,Latvia,1998-01-01,75+ years,male,86.82
3257,Belarus,1995-01-01,55-74 years,male,86.8
3595,Belgium,1997-01-01,75+ years,male,86.8
6559,Croatia,2010-01-01,75+ years,male,86.69
9277,France,2000-01-01,75+ years,male,86.6
24187,Suriname,1999-01-01,75+ years,male,86.56
2073,Austria,2008-01-01,75+ years,male,86.55
8411,Estonia,1999-01-01,55-74 years,male,86.54
24881,Switzerland,2007-01-01,75+ years,male,86.54
15139,Lithuania,2002-01-01,75+ years,male,86.52
21151,Russian Federation,2006-01-01,75+ years,male,86.49
2133,Austria,2013-01-01,75+ years,male,86.48
14857,Latvia,2000-01-01,35-54 years,male,86.46
6881,Cuba,2012-01-01,75+ years,male,86.45
24773,Switzerland,1998-01-01,75+ years,male,86.42
11409,Hungary,1994-01-01,55-74 years,male,86.35
6869,Cuba,2011-01-01,75+ years,male,86.34
21071,Russian Federation,2000-01-01,25-34 years,male,86.32
14861,Latvia,2000-01-01,55-74 years,male,86.08
21067,Russian Federation,1999-01-01,75+ years,male,86.08
26103,Ukraine,1989-01-01,75+ years,male,85.89
11373,Hungary,1991-01-01,55-74 years,male,85.84
15131,Lithuania,2002-01-01,25-34 years,male,85.78
13805,Kazakhstan,1995-01-01,55-74 years,male,85.72
8773,Finland,1989-01-01,75+ years,male,85.71
21095,Russian Federation,2002-01-01,25-34 years,male,85.62
11639,Hungary,2013-01-01,75+ years,male,85.61
23901,Sri Lanka,1985-01-01,15-24 years,male,85.59
27471,Uruguay,2007-01-01,75+ years,male,85.57
3307,Belarus,1999-01-01,75+ years,male,85.53
3301,Belarus,1999-01-01,35-54 years,male,85.49
26197,Ukraine,1997-01-01,55-74 years,male,85.48
22099,Serbia,2008-01-01,75+ years,male,85.47
3229,Belarus,1993-01-01,35-54 years,male,85.45
11217,Guyana,2001-01-01,55-74 years,male,85.41
9757,Germany,1993-01-01,75+ years,male,85.29
23275,Slovenia,2014-01-01,75+ years,male,85.21
6499,Croatia,2005-01-01,75+ years,male,85.1
7215,Czech Republic,1999-01-01,75+ years,male,85.05
13801,Kazakhstan,1995-01-01,35-54 years,male,85.01
22446,Singapore,1988-01-01,75+ years,female,84.91
8461,Estonia,2003-01-01,75+ years,male,84.9
15071,Lithuania,1997-01-01,25-34 years,male,84.84
24809,Switzerland,2001-01-01,75+ years,male,84.82
21139,Russian Federation,2005-01-01,75+ years,male,84.79
13861,Kazakhstan,2000-01-01,35-54 years,male,84.72
11271,Guyana,2006-01-01,25-34 years,male,84.7
15155,Lithuania,2004-01-01,25-34 years,male,84.69
24857,Switzerland,2005-01-01,75+ years,male,84.67
13837,Kazakhstan,1998-01-01,35-54 years,male,84.61
9253,France,1998-01-01,75+ years,male,84.56
15067,Lithuania,1996-01-01,75+ years,male,84.53
21079,Russian Federation,2000-01-01,75+ years,male,84.4
11285,Guyana,2007-01-01,35-54 years,male,84.39
21175,Russian Federation,2008-01-01,75+ years,male,84.37
6797,Cuba,2005-01-01,75+ years,male,84.34
3341,Belarus,2002-01-01,55-74 years,male,84.32
14837,Latvia,1998-01-01,55-74 years,male,84.3
8375,Estonia,1996-01-01,55-74 years,male,84.24
3245,Belarus,1994-01-01,55-74 years,male,84.12
15295,Lithuania,2015-01-01,75+ years,male,84.09
13873,Kazakhstan,2001-01-01,35-54 years,male,84.06
22171,Serbia,2014-01-01,75+ years,male,84.04
4747,Bulgaria,2001-01-01,75+ years,male,84.01
1989,Austria,2001-01-01,75+ years,male,83.89
15269,Lithuania,2013-01-01,55-74 years,male,83.89
13865,Kazakhstan,2000-01-01,55-74 years,male,83.87
14849,Latvia,1999-01-01,55-74 years,male,83.86
26209,Ukraine,1998-01-01,55-74 years,male,83.84
26233,Ukraine,2000-01-01,55-74 years,male,83.81
21113,Russian Federation,2003-01-01,55-74 years,male,83.8
11453,Hungary,1998-01-01,35-54 years,male,83.79
21121,Russian Federation,2004-01-01,35-54 years,male,83.79
26221,Ukraine,1999-01-01,55-74 years,male,83.74
6785,Cuba,2004-01-01,75+ years,male,83.71
8407,Estonia,1999-01-01,35-54 years,male,83.69
15083,Lithuania,1998-01-01,25-34 years,male,83.68
6523,Croatia,2007-01-01,75+ years,male,83.61
20977,Russian Federation,1992-01-01,35-54 years,male,83.58
26199,Ukraine,1997-01-01,75+ years,male,83.52
11615,Hungary,2011-01-01,75+ years,male,83.51
13907,Kazakhstan,2004-01-01,25-34 years,male,83.42
3487,Belgium,1988-01-01,75+ years,male,83.41
21475,Saint Lucia,2000-01-01,75+ years,male,83.4
26139,Ukraine,1992-01-01,75+ years,male,83.39
15233,Lithuania,2010-01-01,55-74 years,male,83.3
9781,Germany,1995-01-01,75+ years,male,83.26
3535,Belgium,1992-01-01,75+ years,male,83.26
21091,Russian Federation,2001-01-01,75+ years,male,83.23
11397,Hungary,1993-01-01,55-74 years,male,83.13
15241,Lithuania,2011-01-01,35-54 years,male,83.02
22159,Serbia,2013-01-01,75+ years,male,82.96
15229,Lithuania,2010-01-01,35-54 years,male,82.95
20987,Russian Federation,1993-01-01,25-34 years,male,82.84
11405,Hungary,1994-01-01,35-54 years,male,82.78
15175,Lithuania,2005-01-01,75+ years,male,82.74
20539,Republic of Korea,2010-01-01,55-74 years,male,82.73
24821,Switzerland,2002-01-01,75+ years,male,82.65
24295,Suriname,2008-01-01,75+ years,male,82.63
22183,Serbia,2015-01-01,75+ years,male,82.62
14873,Latvia,2001-01-01,55-74 years,male,82.57
13889,Kazakhstan,2002-01-01,55-74 years,male,82.56
14869,Latvia,2001-01-01,35-54 years,male,82.55
26181,Ukraine,1996-01-01,35-54 years,male,82.51
11393,Hungary,1993-01-01,35-54 years,male,82.49
27519,Uruguay,2012-01-01,75+ years,male,82.47
24797,Switzerland,2000-01-01,75+ years,male,82.35
21163,Russian Federation,2007-01-01,75+ years,male,82.35
15197,Lithuania,2007-01-01,55-74 years,male,82.29
6917,Cuba,2015-01-01,75+ years,male,82.23
11465,Hungary,1999-01-01,35-54 years,male,82.21
6845,Cuba,2009-01-01,75+ years,male,82.21
13895,Kazakhstan,2003-01-01,25-34 years,male,82.15
3379,Belarus,2008-01-01,75+ years,male,82.02
20479,Republic of Korea,2005-01-01,55-74 years,male,81.92
11433,Hungary,1996-01-01,55-74 years,male,81.7
20467,Republic of Korea,2004-01-01,55-74 years,male,81.63
21499,Saint Lucia,2002-01-01,75+ years,male,81.6
20397,Republic of Korea,1998-01-01,75+ years,male,81.59
20421,Republic of Korea,2000-01-01,75+ years,male,81.49
6511,Croatia,2006-01-01,75+ years,male,81.48
15079,Lithuania,1997-01-01,75+ years,male,81.43
22423,Singapore,1986-01-01,75+ years,male,81.4
22555,Singapore,1997-01-01,75+ years,male,81.36
15181,Lithuania,2006-01-01,35-54 years,male,81.31
15271,Lithuania,2013-01-01,75+ years,male,81.28
20551,Republic of Korea,2011-01-01,55-74 years,male,81.21
15245,Lithuania,2011-01-01,55-74 years,male,81.18
24307,Suriname,2009-01-01,75+ years,male,81.1
27351,Uruguay,1997-01-01,75+ years,male,81.1
3355,Belarus,2003-01-01,75+ years,male,81.1
23069,Slovenia,1997-01-01,55-74 years,male,81.08
14845,Latvia,1999-01-01,35-54 years,male,81.06
4771,Bulgaria,2003-01-01,75+ years,male,81.04
13877,Kazakhstan,2001-01-01,55-74 years,male,81.0
21059,Russian Federation,1999-01-01,25-34 years,male,80.83
6583,Croatia,2012-01-01,75+ years,male,80.75
9769,Germany,1994-01-01,75+ years,male,80.69
27459,Uruguay,2006-01-01,75+ years,male,80.67
15211,Lithuania,2008-01-01,75+ years,male,80.54
3319,Belarus,2000-01-01,75+ years,male,80.5
6571,Croatia,2011-01-01,75+ years,male,80.49
9265,France,1999-01-01,75+ years,male,80.46
8449,Estonia,2002-01-01,75+ years,male,80.44
21035,Russian Federation,1997-01-01,25-34 years,male,80.28
13747,Kazakhstan,1990-01-01,75+ years,male,80.23
24749,Switzerland,1996-01-01,75+ years,male,80.19
15223,Lithuania,2009-01-01,75+ years,male,80.18
27243,Uruguay,1986-01-01,75+ years,male,80.17
6833,Cuba,2008-01-01,75+ years,male,80.16
26173,Ukraine,1995-01-01,55-74 years,male,80.11
14959,Latvia,2008-01-01,75+ years,male,80.07
15163,Lithuania,2004-01-01,75+ years,male,79.98
3571,Belgium,1995-01-01,75+ years,male,79.98
21103,Russian Federation,2002-01-01,75+ years,male,79.95
21727,Saint Vincent and Grenadines,1998-01-01,75+ years,male,79.94
2109,Austria,2011-01-01,75+ years,male,79.93
11429,Hungary,1996-01-01,35-54 years,male,79.89
23915,Sri Lanka,1986-01-01,25-34 years,male,79.75
14795,Latvia,1995-01-01,25-34 years,male,79.69
27531,Uruguay,2013-01-01,75+ years,male,79.65
13819,Kazakhstan,1996-01-01,75+ years,male,79.6
23903,Sri Lanka,1985-01-01,25-34 years,male,79.5
20527,Republic of Korea,2009-01-01,55-74 years,male,79.47
3299,Belarus,1999-01-01,25-34 years,male,79.41
13931,Kazakhstan,2006-01-01,25-34 years,male,79.39
15047,Lithuania,1995-01-01,25-34 years,male,79.37
